trial,fold,incumbent,test_r,delta,val_r_best,fit_r_at_best,gap,best_epoch,last_epoch,es_fired,hit_cap,n_test,note,encoder,rank,width,hidden,dropout,lags,chunk,batch_chunks,epochs,steps_per_epoch,lr,weight_decay,cosine,patience,val_datasets,val_subjects,noise,vox_dropout,shift,mixup,mirror,mirror_roll,tta_mirror,val_smooth,init_basis,init_encoder,seed,warmup,clip,loss,huber_delta,ema
trial02_scratch_cnn_lr1e-3,dsL07_deepmreye_calib,0.7471306383153705,0.6932884585412065,-0.0538,0.7328314548943972,0.8783436832269245,0.1455,9,17,True,False,15,,cnn,64,16,256,0.1,1,128,2,40,150,0.001,0.01,False,8,3,8,0.0,0.0,0,0.0,0.0,1,False,1,False,,0,,,,,
trial03_scratch_diverse,dsL07_deepmreye_calib,0.7471306383153705,0.6870010973253105,-0.0601,0.7004976426676901,0.834721787168689,0.1342,5,13,True,False,15,,cnn,64,16,256,0.1,1,16,16,40,150,0.001,0.01,False,8,3,8,0.0,0.0,0,0.0,0.0,1,False,1,False,,0,,,,,
trial04_scratch_heavyreg,dsL07_deepmreye_calib,0.7471306383153705,0.6543011807842933,-0.0928,0.6350381289702717,0.6615348418439253,0.0265,3,11,True,False,15,,cnn,64,16,256,0.3,1,128,2,40,150,0.001,0.05,False,8,3,8,0.1,0.1,3,0.2,0.0,1,False,1,False,,0,,,,,
trial05_scratch_shiftonly,dsL07_deepmreye_calib,0.7471306383153705,0.7037116058084903,-0.0434,0.7317207450191936,0.796321951364279,0.0646,30,38,True,False,15,,cnn,64,16,256,0.2,1,128,2,40,150,0.001,0.01,False,8,3,8,0.0,0.0,2,0.0,0.0,1,False,1,False,,0,,,,,
trial07_scratch_shift_long,dsL07_deepmreye_calib,0.7471306618525173,0.707577993387652,-0.0396,0.7513629955041305,0.8517367332439085,0.1004,84,124,True,False,15,"trial07 shift2 long (trial05 config, 150ep cosine, patience 40)",cnn,64,16,256,0.2,1,128,2,150,150,0.001,0.01,True,40,3,8,0.0,0.0,2,0.0,0.0,1,False,1,False,,0,,,,,
trial08_scratch_shift1,dsL07_deepmreye_calib,0.7471306618525173,0.7261905029531464,-0.0209,0.7256079108988938,0.9121965550721438,0.1866,71,111,True,False,15,trial08 shift sweep: shift 1 at trial07 schedule,cnn,64,16,256,0.2,1,128,2,150,150,0.001,0.01,True,40,3,8,0.0,0.0,1,0.0,0.0,1,False,1,False,,0,,,,,
trial09_scratch_shift3,dsL07_deepmreye_calib,0.7471306618525173,0.6956147584531764,-0.0515,0.6988140607553532,0.7482854049381571,0.0495,48,88,True,False,15,trial09 shift sweep: shift 3 at trial07 schedule,cnn,64,16,256,0.2,1,128,2,150,150,0.001,0.01,True,40,3,8,0.0,0.0,3,0.0,0.0,1,False,1,False,,0,,,,,
trial10_scratch_shift4,dsL07_deepmreye_calib,0.7471306618525173,0.6664752773231806,-0.0807,0.6835723122897541,0.7276074060612362,0.044,62,102,True,False,15,trial10 shift sweep: shift 4 at trial07 schedule,cnn,64,16,256,0.2,1,128,2,150,150,0.001,0.01,True,40,3,8,0.0,0.0,4,0.0,0.0,1,False,1,False,,0,,,,,
trial11_scratch_shift6,dsL07_deepmreye_calib,0.7471306618525173,0.6425216005689043,-0.1046,0.6487447292200663,0.6907067258823493,0.042,127,149,False,True,15,trial11 shift sweep: shift 6 at trial07 schedule,cnn,64,16,256,0.2,1,128,2,150,150,0.001,0.01,True,40,3,8,0.0,0.0,6,0.0,0.0,1,False,1,False,,0,,,,,
trial12_scratch_shift0,dsL07_deepmreye_calib,0.7471306618525173,0.6617720261898141,-0.0854,0.7236984699653902,0.8213056888835633,0.0976,4,44,True,False,15,trial12 control: shift 0 at trial07 schedule -- does shift help at all?,cnn,64,16,256,0.2,1,128,2,150,150,0.001,0.01,True,40,3,8,0.0,0.0,0,0.0,0.0,1,False,1,False,,0,,,,,
